id,trial_id,session_id,pause_frame,click_bottom_left_x,click_bottom_left_y,ball_x,ball_y,diameters_away,trial_name,reaction_time_ms,global_trial_name,repeat_instance_index,symmetry_transform
60,189,4,140,9.95,8.234765625,11.36740761698309,5.725662281464464,2.8817779132373973,T18,3584.0,T18,2,0
72,221,5,140,4.05,4.19000015258789,11.36740761698309,5.725662281464464,7.476811647162705,T18,2647.0,T18,2,0
91,287,7,140,7.949999999999999,6.540000152587891,11.36740761698309,5.725662281464464,3.5130927953812843,T18,2100.0,T18,2,0
124,394,8,140,9.78984375,7.834765624999999,11.36740761698309,5.725662281464464,2.633823203657265,T18,2196.0,T18,2,0
219,706,10,140,12.159999084472656,7.640000152587891,11.36740761698309,5.725662281464464,2.0719292263865188,T18,2298.0,T18,2,0
315,1015,11,140,8.3,8.209375,11.36740761698309,5.725662281464464,3.946874504838108,T18,2295.0,T18,2,0
230,739,13,140,10.9296875,8.009375,11.36740761698309,5.725662281464464,2.325283355123126,T18,1971.0,T18,2,0
246,787,14,140,7.75,6.61953125,11.36740761698309,5.725662281464464,3.7262098170014615,T18,3470.0,T18,2,0
358,1150,15,140,12.7953125,5.809375,11.36740761698309,5.725662281464464,1.4303566597838955,T18,2642.0,T18,2,0
347,1102,16,140,10.23333282470703,6.0765625,11.36740761698309,5.725662281464464,1.1871211386561504,T18,2645.0,T18,2,0
394,1261,17,140,8.825,7.434765625,11.36740761698309,5.725662281464464,3.063473637846095,T18,2564.0,T18,2,0
397,1281,18,140,13.710000610351562,5.290000152587891,11.36740761698309,5.725662281464464,2.3827596234442794,T18,2662.0,T18,2,0
413,1324,19,140,12.375,8.384765625,11.36740761698309,5.725662281464464,2.8436021173707764,T18,2279.0,T18,2,0
416,1335,20,140,12.2,9.44000015258789,11.36740761698309,5.725662281464464,3.806509673850768,T18,2791.0,T18,2,0
423,1360,21,140,13.2,6.234765625,11.36740761698309,5.725662281464464,1.9019939686262557,T18,3111.0,T18,2,0
462,1486,22,140,10.0453125,6.609375,11.36740761698309,5.725662281464464,1.590246417147984,T18,2846.0,T18,2,0
486,1564,23,140,11.55,7.509375,11.36740761698309,5.725662281464464,1.7930340321927043,T18,2223.0,T18,2,0
