frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,365,green,14258,L68
1,0,0,1,365,green,14258,L68
2,0,0,1,365,green,14258,L68
3,0,0,1,365,green,14258,L68
4,0,0,1,365,green,14258,L68
5,0,0,1,365,green,14258,L68
6,0,0,1,365,green,14258,L68
7,0,0,1,365,green,14258,L68
8,0,0,1,365,green,14258,L68
9,0,0,1,365,green,14258,L68
10,0,0,1,365,green,14258,L68
11,0,0,1,365,green,14258,L68
12,0,0,1,365,green,14258,L68
13,0,0,1,365,green,14258,L68
14,0,0,1,365,green,14258,L68
15,0,0,1,365,green,14258,L68
16,0,0,1,365,green,14258,L68
17,0,0,1,365,green,14258,L68
18,0,0,1,365,green,14258,L68
19,0,0,1,365,green,14258,L68
20,0,0,1,365,green,14258,L68
21,0,0,1,365,green,14258,L68
22,0,0,1,365,green,14258,L68
23,0,0,1,365,green,14258,L68
24,0,0,1,365,green,14258,L68
25,0,0,1,365,green,14258,L68
26,0,0,1,365,green,14258,L68
27,0,0,1,365,green,14258,L68
28,0,0,1,365,green,14258,L68
29,0,0,1,365,green,14258,L68
30,0,0,1,365,green,14258,L68
31,0,0,1,365,green,14258,L68
32,0,0,1,365,green,14258,L68
33,0,0,1,365,green,14258,L68
34,0,0,1,365,green,14258,L68
35,0,0,1,365,green,14258,L68
36,0,0,1,365,green,14258,L68
37,0,0,1,365,green,14258,L68
38,0,0,1,365,green,14258,L68
39,0,0,1,365,green,14258,L68
40,0,0,1,365,green,14258,L68
41,0,0,1,365,green,14258,L68
42,0,0,1,365,green,14258,L68
43,0,0,1,365,green,14258,L68
44,0,0,1,365,green,14258,L68
45,0,0,1,365,green,14258,L68
46,0,0,1,365,green,14258,L68
47,0,0,1,365,green,14258,L68
48,0,0,1,365,green,14258,L68
49,0,0,1,365,green,14258,L68
50,0,0,1,365,green,14258,L68
51,0,0,1,365,green,14258,L68
52,0,0,1,365,green,14258,L68
53,0,0,1,365,green,14258,L68
54,0,0,1,365,green,14258,L68
55,0,0,1,365,green,14258,L68
56,0,0,1,365,green,14258,L68
57,0,0,1,365,green,14258,L68
58,0,0,1,365,green,14258,L68
59,0,0,1,365,green,14258,L68
60,0,0,1,365,green,14258,L68
61,0,0,1,365,green,14258,L68
62,0,0,1,365,green,14258,L68
63,0,0,1,365,green,14258,L68
64,0,0,1,365,green,14258,L68
65,0,0,1,365,green,14258,L68
66,0,0,1,365,green,14258,L68
67,0,0,1,365,green,14258,L68
68,0,1,0,365,green,14258,L68
69,0,1,0,365,green,14258,L68
70,0,1,0,365,green,14258,L68
71,0,1,0,365,green,14258,L68
72,0,1,0,365,green,14258,L68
73,0,1,0,365,green,14258,L68
74,0,1,0,365,green,14258,L68
75,0,1,0,365,green,14258,L68
76,0,1,0,365,green,14258,L68
77,0,1,0,365,green,14258,L68
78,0,1,0,365,green,14258,L68
79,0,1,0,365,green,14258,L68
80,0,1,0,365,green,14258,L68
